,City,Country,Lat,Lon,Max Temp(F),Humidity(%),Wind Speed(mph),Cloudiness(%),Date
25,Tuktoyaktuk,CA,69.44,-133.03,5.0,84,4.7,75,Feb 26 2019
26,Puerto Ayora,EC,-0.74,-90.35,77.4,100,1.7,20,Feb 26 2019
27,Kalmunai,LK,7.42,81.82,78.21,94,3.78,80,Feb 26 2019
28,Arraial do Cabo,BR,-22.97,-42.02,79.52,96,6.4,44,Feb 26 2019
29,Mar del Plata,AR,-46.43,-67.52,59.67,48,15.12,0,Feb 26 2019
30,Lazaro Cardenas,MX,28.39,-105.62,64.0,30,3.49,5,Feb 26 2019
31,Pozo Colorado,PY,-23.49,-58.8,69.93,90,8.41,88,Feb 26 2019
32,Pevek,RU,69.7,170.27,-2.16,69,2.77,64,Feb 26 2019
33,Eureka,US,40.8,-124.16,46.0,100,5.12,90,Feb 26 2019
34,Rikitea,PF,-23.12,-134.97,80.51,98,11.43,92,Feb 26 2019
35,Boffa,GN,10.18,-14.04,69.48,91,2.89,0,Feb 26 2019
36,Tabuk,PH,17.41,121.44,79.29,44,2.26,0,Feb 26 2019
37,Vestmannaeyjar,IS,63.44,-20.27,42.89,87,14.12,80,Feb 26 2019
38,Crixas,BR,-14.55,-49.97,73.94,92,2.33,48,Feb 26 2019
39,Sangmelima,CM,2.93,11.98,67.64,96,2.48,88,Feb 26 2019
40,Maumere,ID,-8.63,122.22,85.23,95,4.79,44,Feb 26 2019
41,Port Alfred,ZA,-33.59,26.89,64.0,79,5.01,32,Feb 26 2019
42,Vardo,US,39.62,-77.74,34.0,63,3.36,1,Feb 26 2019
43,Alofi,NU,-19.06,-169.92,77.0,100,6.93,90,Feb 26 2019
44,San Andres,PH,13.32,122.68,78.39,100,10.38,0,Feb 26 2019
45,Vaini,IN,15.34,74.49,71.6,59,2.24,0,Feb 26 2019
46,Nikolskoye,RU,59.7,30.79,28.0,86,2.24,0,Feb 26 2019
47,Ende,ID,-8.84,121.65,83.84,100,4.56,12,Feb 26 2019
48,Pueblo,US,38.25,-104.61,51.8,80,9.17,1,Feb 26 2019
49,Victoria,BN,5.28,115.24,86.0,70,12.75,75,Feb 26 2019
50,Kavieng,PG,-2.57,150.8,80.64,100,11.54,88,Feb 26 2019
51,Barrow,AR,-38.31,-60.23,49.59,58,8.25,32,Feb 26 2019
52,Kimbe,PG,-5.56,150.15,79.83,100,4.9,92,Feb 26 2019
53,Bluff,AU,-23.58,149.07,89.64,33,9.42,0,Feb 26 2019
54,Butaritari,KI,3.07,172.79,83.84,100,17.81,68,Feb 26 2019
55,Thompson,CA,55.74,-97.86,6.8,71,6.93,75,Feb 26 2019
56,Cape Town,ZA,-33.93,18.42,61.0,93,5.82,75,Feb 26 2019
57,Talnakh,RU,69.49,88.39,-17.91,75,2.71,0,Feb 26 2019
58,Iqaluit,CA,63.75,-68.52,-5.01,76,11.41,90,Feb 26 2019
59,Sosva,RU,59.17,61.86,17.19,87,4.5,80,Feb 26 2019
60,Mataura,NZ,-46.19,168.86,55.99,60,21.99,92,Feb 26 2019
61,Barbate,ES,36.19,-5.92,57.2,57,10.29,20,Feb 26 2019
62,Jiwani,PK,25.05,61.74,57.96,93,7.36,0,Feb 26 2019
63,Ribeira Grande,PT,38.52,-28.7,61.52,96,31.63,92,Feb 26 2019
64,Cherskiy,RU,68.75,161.3,-4.23,76,3.04,64,Feb 26 2019
65,Port Macquarie,AU,-31.43,152.91,80.01,50,10.29,75,Feb 26 2019
66,Cabo San Lucas,MX,22.89,-109.91,68.0,72,8.3,5,Feb 26 2019
67,San Cristobal,EC,-0.39,-78.55,57.2,100,10.29,90,Feb 26 2019
68,Port Elizabeth,US,39.31,-74.98,39.0,59,5.82,90,Feb 26 2019
69,Georgetown,GY,6.8,-58.16,73.4,94,4.7,20,Feb 26 2019
70,Boshnyakovo,RU,49.65,142.17,21.47,68,9.64,0,Feb 26 2019
71,Solnechnyy,RU,50.72,136.64,31.05,67,5.91,0,Feb 26 2019
72,Tabory,PL,53.89,19.53,30.99,87,4.5,0,Feb 26 2019
73,Carnarvon,ZA,-30.97,22.13,47.57,69,4.79,0,Feb 26 2019
74,Laguna,MX,27.52,-110.01,62.46,57,2.89,0,Feb 26 2019
75,Hilo,US,19.71,-155.08,75.2,60,4.7,90,Feb 26 2019
76,Souillac,FR,45.6,-0.6,46.4,81,1.12,0,Feb 26 2019
77,Broome,GB,52.47,1.45,44.6,86,1.12,0,Feb 26 2019
78,Morehead,US,38.18,-83.43,46.4,35,6.93,1,Feb 26 2019
79,Chapais,CA,49.78,-74.86,-20.21,75,3.36,1,Feb 26 2019
80,Rudnogorsk,RU,57.27,103.75,22.77,74,4.56,76,Feb 26 2019
81,Provideniya,RU,64.42,-173.23,32.0,94,20.13,90,Feb 26 2019
82,Saint-Philippe,CA,45.36,-73.48,3.99,59,5.82,1,Feb 26 2019
83,Ilulissat,GL,69.22,-51.1,8.6,78,2.24,0,Feb 26 2019
84,Ushuaia,AR,-54.81,-68.31,42.8,75,25.28,40,Feb 26 2019
85,Hirado,JP,33.32,129.49,55.0,62,1.12,75,Feb 26 2019
86,Imeni Zhelyabova,RU,58.95,36.6,9.32,69,3.27,0,Feb 26 2019
87,Koslan,RU,63.46,48.9,-2.84,60,2.37,0,Feb 26 2019
88,Nouadhibou,MR,20.93,-17.03,66.2,32,14.99,0,Feb 26 2019
89,Upernavik,GL,72.79,-56.15,1.67,100,17.92,36,Feb 26 2019
90,Deputatskiy,RU,69.3,139.9,-24.75,34,2.37,8,Feb 26 2019
91,Puerto Madryn,AR,-42.77,-65.04,63.63,75,12.95,88,Feb 26 2019
92,Sikasso,ML,11.32,-5.68,60.44,32,8.75,0,Feb 26 2019
93,Longyearbyen,NO,78.22,15.63,8.6,78,9.17,75,Feb 26 2019
94,Lasa,CY,34.92,32.53,60.8,77,26.4,75,Feb 26 2019
95,Galle,US,29.74,-97.91,63.0,93,9.17,90,Feb 26 2019
96,Edd,ER,13.93,41.69,70.83,17,7.52,0,Feb 26 2019
97,Donji Vakuf,BA,44.14,17.4,32.58,78,3.38,88,Feb 26 2019
98,Rosa Zarate,EC,0.33,-79.47,73.17,95,1.21,48,Feb 26 2019
99,Katobu,ID,-4.94,122.53,86.67,83,5.73,8,Feb 26 2019
100,Ambilobe,MG,-13.19,49.05,74.52,98,1.54,92,Feb 26 2019
101,Seguela,CI,7.96,-6.67,70.47,38,5.39,36,Feb 26 2019
102,Waipawa,NZ,-39.94,176.59,72.59,47,15.3,0,Feb 26 2019
103,East London,ZA,-33.02,27.91,64.4,55,16.11,40,Feb 26 2019
104,Baruun-Urt,MN,46.68,113.28,30.29,45,6.51,0,Feb 26 2019
105,Vanimo,PG,-2.67,141.3,82.08,100,4.38,8,Feb 26 2019
106,Sayyan,YE,15.17,44.32,39.6,74,1.48,0,Feb 26 2019
107,Kruisfontein,ZA,-34.0,24.73,60.48,77,15.3,0,Feb 26 2019
108,Chiredzi,ZW,-21.05,31.67,70.02,85,2.77,0,Feb 26 2019
109,Monrovia,LR,6.33,-10.8,77.54,94,6.73,80,Feb 26 2019
110,Narsaq,GL,60.91,-46.05,35.6,27,24.16,0,Feb 26 2019
111,Camacha,PT,33.08,-16.33,60.8,77,11.41,20,Feb 26 2019
112,Praia da Vitoria,PT,38.73,-27.07,59.0,87,29.66,75,Feb 26 2019
113,Balkhash,KZ,46.84,74.98,23.0,100,6.71,90,Feb 26 2019
114,Vaideeni,RO,45.17,23.93,36.0,74,4.7,90,Feb 26 2019
115,Cavalcante,BR,-13.79,-47.46,68.81,98,2.77,64,Feb 26 2019
116,Kaitangata,NZ,-46.28,169.85,49.77,100,26.6,92,Feb 26 2019
117,Flinders,AU,-34.58,150.85,81.0,53,12.75,75,Feb 26 2019
118,Carballo,ES,43.21,-8.69,57.2,50,6.93,0,Feb 26 2019
119,Bilibino,RU,68.06,166.44,5.22,77,2.89,64,Feb 26 2019
120,Harper,US,30.3,-99.24,66.0,82,4.7,90,Feb 26 2019
121,Sobolevo,RU,54.43,31.9,26.01,83,11.77,80,Feb 26 2019
122,Avarua,CK,-21.21,-159.78,82.4,74,12.75,0,Feb 26 2019
123,Chuy,UY,-33.69,-53.46,55.94,93,9.6,0,Feb 26 2019
124,Bengbu,CN,32.92,117.38,45.0,91,8.41,80,Feb 26 2019
125,Rio Gallegos,AR,-51.62,-69.22,46.4,52,11.41,0,Feb 26 2019
126,Norman Wells,CA,65.28,-126.83,14.0,78,3.36,75,Feb 26 2019
127,Los Llanos de Aridane,ES,28.66,-17.92,62.6,77,9.17,0,Feb 26 2019
128,Hithadhoo,MV,-0.6,73.08,83.12,100,12.28,88,Feb 26 2019
129,Dikson,RU,73.51,80.55,-4.23,76,26.49,36,Feb 26 2019
130,Kavaratti,IN,10.57,72.64,81.63,100,9.53,12,Feb 26 2019
131,Manjeshwar,IN,12.72,74.89,77.0,78,5.82,20,Feb 26 2019
132,Nizhnekamsk,RU,55.64,51.82,17.6,92,6.71,90,Feb 26 2019
133,Millau,FR,44.1,3.08,33.8,86,2.24,0,Feb 26 2019
134,Tasiilaq,GL,65.61,-37.64,32.0,89,16.11,92,Feb 26 2019
135,San Patricio,PY,-26.98,-56.83,66.6,71,6.51,0,Feb 26 2019
136,Severo-Kurilsk,RU,50.68,156.12,21.74,100,17.13,44,Feb 26 2019
137,Ternate,PH,14.29,120.72,87.01,48,13.87,20,Feb 26 2019
138,Hamamatsu,JP,34.71,137.73,57.99,61,6.93,75,Feb 26 2019
139,Sitka,US,37.17,-99.65,19.99,84,6.51,0,Feb 26 2019
140,Yurimaguas,PE,-5.9,-76.1,74.52,96,2.1,32,Feb 26 2019
141,Yabrud,SY,33.97,36.66,46.4,75,21.92,40,Feb 26 2019
142,Doha,QA,25.29,51.53,62.6,59,2.24,0,Feb 26 2019
143,Nanga Eboko,CM,4.68,12.37,69.17,98,5.06,88,Feb 26 2019
144,Guerrero Negro,MX,27.97,-114.04,57.06,81,7.02,56,Feb 26 2019
145,Walvis Bay,NA,-22.95,14.51,66.99,90,1.99,0,Feb 26 2019
146,Novopokrovka,RU,45.85,134.51,31.91,42,5.79,0,Feb 26 2019
147,Kardla,EE,58.44,26.57,30.2,100,8.05,90,Feb 26 2019
148,Dunedin,NZ,-45.87,170.5,54.0,61,25.01,32,Feb 26 2019
149,Broken Hill,AU,-31.97,141.45,95.0,13,12.75,0,Feb 26 2019
150,Liverpool,GB,53.41,-2.98,48.0,81,4.7,0,Feb 26 2019
151,Antofagasta,CL,-23.65,-70.4,68.0,82,5.82,40,Feb 26 2019
152,Anda,CN,46.41,125.33,37.8,37,14.56,36,Feb 26 2019
153,Hit,IQ,33.64,42.83,47.57,55,11.32,0,Feb 26 2019
154,Sibolga,ID,1.74,98.78,79.92,78,2.55,0,Feb 26 2019
155,Svetlogorsk,RU,53.14,59.15,8.6,78,4.47,90,Feb 26 2019
156,Hasaki,JP,35.73,140.83,50.0,46,9.17,75,Feb 26 2019
157,Pangnirtung,CA,66.15,-65.72,-16.92,72,3.78,0,Feb 26 2019
158,Samarai,PG,-10.62,150.67,82.53,100,9.37,12,Feb 26 2019
159,Kokopo,PG,-4.34,152.27,82.44,99,6.62,56,Feb 26 2019
160,Olavarria,AR,-36.89,-60.32,59.0,52,3.27,0,Feb 26 2019
161,Richards Bay,ZA,-28.77,32.06,72.86,87,10.94,80,Feb 26 2019
162,Lae,PG,-6.72,146.98,93.2,52,11.41,40,Feb 26 2019
163,Zhuji,CN,29.72,120.23,48.2,93,8.95,75,Feb 26 2019
164,Sawakin,SD,19.1,37.33,71.28,100,5.84,88,Feb 26 2019
165,Nola,CF,3.52,16.05,71.19,97,1.88,80,Feb 26 2019
166,Tokonou,GN,9.65,-9.78,61.56,41,5.61,0,Feb 26 2019
167,Udachnyy,RU,66.42,112.4,11.21,66,4.79,80,Feb 26 2019
168,Pechora,RU,65.12,57.16,-5.94,70,6.91,0,Feb 26 2019
169,Te Anau,NZ,-45.41,167.72,44.1,90,8.81,80,Feb 26 2019
170,Teseney,ER,15.11,36.66,69.48,62,3.6,0,Feb 26 2019
171,Klaksvik,FO,62.23,-6.59,44.6,87,13.87,36,Feb 26 2019
172,Mehamn,NO,71.03,27.85,30.2,86,16.11,90,Feb 26 2019
173,Cidreira,BR,-30.17,-50.22,63.59,94,0.69,44,Feb 26 2019
174,San Quintin,PH,17.54,120.52,81.86,52,3.6,0,Feb 26 2019
175,College,US,64.86,-147.8,19.4,78,2.77,1,Feb 26 2019
176,Kingisepp,RU,59.38,28.61,18.0,76,3.56,48,Feb 26 2019
177,Kununurra,AU,-15.77,128.74,93.2,52,5.82,0,Feb 26 2019
178,Codrington,AU,-28.95,153.24,84.2,50,12.75,90,Feb 26 2019
179,Muisne,EC,0.61,-80.02,73.04,90,3.38,24,Feb 26 2019
180,Porto Novo,BR,-23.68,-45.44,68.0,94,3.36,40,Feb 26 2019
181,Saint Pete Beach,US,27.73,-82.74,66.2,99,18.34,90,Feb 26 2019
182,New Norfolk,AU,-42.78,147.06,70.0,42,13.87,20,Feb 26 2019
183,Saint-Louis,CH,47.59,7.56,41.0,76,2.24,0,Feb 26 2019
184,Krasnyy Chikoy,RU,50.36,108.75,25.79,45,3.11,0,Feb 26 2019
185,Khatanga,RU,71.98,102.47,-2.3,70,7.92,88,Feb 26 2019
186,Amberley,NZ,-43.15,172.73,75.0,68,25.28,48,Feb 26 2019
187,Aklavik,CA,68.22,-135.01,15.8,78,4.7,75,Feb 26 2019
188,Tura,IN,25.52,90.21,62.24,90,3.83,64,Feb 26 2019
189,Karlskoga,SE,59.33,14.52,39.2,86,11.41,0,Feb 26 2019
190,Lebu,ET,8.96,38.73,51.8,50,3.36,0,Feb 26 2019
191,Saint George,GR,39.45,22.34,42.8,56,8.05,20,Feb 26 2019
192,Karla,EE,59.37,24.93,34.0,91,9.17,0,Feb 26 2019
193,Chokurdakh,RU,70.62,147.9,-15.57,68,11.43,64,Feb 26 2019
194,Namibe,AO,-15.19,12.15,76.41,100,3.6,92,Feb 26 2019
195,Tautira,PF,-17.73,-149.15,82.4,78,2.24,75,Feb 26 2019
196,Kieta,PG,-6.22,155.63,79.79,100,2.48,36,Feb 26 2019
197,Salalah,OM,17.01,54.1,73.4,28,5.82,0,Feb 26 2019
198,Placerville,US,38.73,-120.8,55.0,87,18.34,90,Feb 26 2019
199,Noumea,NC,-22.28,166.46,82.4,58,23.04,40,Feb 26 2019
200,Green River,US,41.53,-109.47,32.0,66,5.82,1,Feb 26 2019
201,Byron Bay,AU,-28.65,153.62,84.2,54,11.41,75,Feb 26 2019
202,Saskylakh,RU,71.97,114.09,-26.15,39,4.79,0,Feb 26 2019
203,Mariestad,SE,58.71,13.82,39.2,73,3.36,0,Feb 26 2019
204,Mabama,SL,8.94,-11.9,68.72,86,3.49,0,Feb 26 2019
205,Meadow Lake,CA,54.13,-108.44,6.12,76,10.38,68,Feb 26 2019
206,Cam Ranh,VN,11.92,109.15,87.8,55,12.75,20,Feb 26 2019
207,Calahorra,ES,42.3,-1.96,41.0,93,0.58,0,Feb 26 2019
208,Yar-Sale,RU,66.83,70.83,-13.59,62,10.83,0,Feb 26 2019
209,Gresham,US,45.51,-122.44,34.0,34,27.51,90,Feb 26 2019
210,Kovur,IN,14.5,79.99,79.56,74,12.55,8,Feb 26 2019
211,Madimba,CM,4.42,9.93,75.2,94,11.32,40,Feb 26 2019
212,Ust-Ishim,RU,57.69,71.17,12.33,84,6.13,68,Feb 26 2019
213,Anjozorobe,MG,-18.4,47.88,66.2,88,5.82,75,Feb 26 2019
214,Cap Malheureux,MU,-19.98,57.61,82.99,83,10.29,40,Feb 26 2019
215,Adrar,DZ,27.87,-0.29,41.0,35,9.17,0,Feb 26 2019
216,Buluang,PH,10.47,123.98,82.4,58,10.29,20,Feb 26 2019
217,Acheng,CN,45.55,126.95,37.4,21,13.42,0,Feb 26 2019
218,Puerto Escondido,MX,15.86,-97.07,81.81,100,2.89,0,Feb 26 2019
219,La Asuncion,EC,-1.64,-78.74,47.57,96,2.21,92,Feb 26 2019
220,Taunggyi,MM,20.78,97.03,72.41,57,3.22,0,Feb 26 2019
221,Ruston,US,32.52,-92.64,59.0,76,3.89,90,Feb 26 2019
222,Kobayashi,JP,32.03,131.02,59.0,58,10.29,75,Feb 26 2019
223,Atar,MR,20.52,-13.05,58.37,26,11.95,0,Feb 26 2019
224,Mandurah,AU,-32.55,115.7,91.0,43,5.82,0,Feb 26 2019
225,Guider,CM,9.93,13.94,67.59,78,2.59,32,Feb 26 2019
226,Neresnytsya,UA,48.12,23.77,37.4,74,2.24,0,Feb 26 2019
227,Kamaishi,JP,39.28,141.86,44.6,33,9.17,20,Feb 26 2019
228,Margate,AU,-43.03,147.26,70.0,42,13.87,20,Feb 26 2019
229,Lavrentiya,RU,65.58,-170.99,27.32,86,16.58,32,Feb 26 2019
230,Talcahuano,CL,-36.72,-73.12,57.2,82,9.17,0,Feb 26 2019
231,Sakete,BJ,6.74,2.66,78.8,88,2.24,20,Feb 26 2019
232,Lethem,GY,3.38,-59.8,80.82,58,14.9,0,Feb 26 2019
233,Melo,UY,-32.37,-54.17,50.99,75,6.58,0,Feb 26 2019
234,Cotonou,BJ,6.37,2.43,78.8,88,2.24,20,Feb 26 2019
235,Gelemso,ET,8.81,40.52,45.27,72,2.33,0,Feb 26 2019
236,Darhan,MN,49.49,105.92,28.04,39,3.89,0,Feb 26 2019
237,Lompoc,US,34.64,-120.46,55.4,81,4.7,75,Feb 26 2019
238,Fairbanks,US,64.84,-147.72,19.99,78,2.77,1,Feb 26 2019
239,Pisco,PE,-13.71,-76.2,73.4,78,9.17,0,Feb 26 2019
240,Uyskoye,RU,54.37,60.01,10.62,75,2.77,80,Feb 26 2019
241,Henties Bay,NA,-22.12,14.28,66.99,91,3.0,0,Feb 26 2019
242,Xai-Xai,MZ,-25.04,33.64,79.34,91,13.33,0,Feb 26 2019
243,Felipe Carrillo Puerto,MX,19.58,-88.05,77.67,70,5.61,12,Feb 26 2019
244,Tuatapere,NZ,-46.13,167.69,55.99,60,21.99,88,Feb 26 2019
245,Monywa,MM,22.12,95.13,75.15,75,4.5,12,Feb 26 2019
246,Yafran,LY,32.06,12.53,36.77,90,3.83,0,Feb 26 2019
247,Sistranda,NO,63.73,8.83,45.0,75,36.91,75,Feb 26 2019
248,Banjarmasin,ID,-3.32,114.59,87.8,62,8.05,40,Feb 26 2019
249,Cabedelo,BR,-6.97,-34.84,80.6,83,4.7,0,Feb 26 2019
250,Kiunga,PG,-6.12,141.3,87.66,69,3.0,20,Feb 26 2019
251,Brae,GB,60.4,-1.35,46.4,93,8.05,88,Feb 26 2019
252,Bereda,ES,43.27,-7.54,57.2,50,6.93,0,Feb 26 2019
253,Saint-Augustin,FR,44.83,-0.61,46.4,81,3.36,0,Feb 26 2019
254,Changji,CN,32.07,116.17,42.3,100,5.39,92,Feb 26 2019
255,Promyshlennaya,RU,54.92,85.64,28.4,86,11.18,90,Feb 26 2019
256,Sao Miguel do Araguaia,BR,-13.28,-50.16,76.23,93,3.04,68,Feb 26 2019
257,Sabang,PH,13.72,123.58,78.84,84,10.04,64,Feb 26 2019
258,Qaanaaq,GL,77.48,-69.36,-16.29,92,5.91,0,Feb 26 2019
259,Taltal,CL,-25.41,-70.49,55.62,94,0.81,0,Feb 26 2019
260,Hambantota,LK,6.12,81.12,82.4,88,5.82,75,Feb 26 2019
261,Aswan,EG,24.09,32.9,64.4,27,11.41,0,Feb 26 2019
262,Zarubino,RU,42.65,131.06,37.89,74,4.23,12,Feb 26 2019
263,San Vicente,SV,13.64,-88.78,75.2,83,3.36,20,Feb 26 2019
264,Nalut,LY,31.86,10.98,43.97,96,5.5,88,Feb 26 2019
265,Bondo,CD,3.81,23.69,72.0,93,1.81,92,Feb 26 2019
266,Whitehorse,CA,60.72,-135.06,15.8,56,4.7,5,Feb 26 2019
267,Comodoro Rivadavia,AR,-45.87,-67.48,55.4,76,20.11,0,Feb 26 2019
268,Abha,SA,18.22,42.5,60.8,72,4.7,0,Feb 26 2019
269,Konevo,BG,41.67,25.61,31.37,75,6.51,44,Feb 26 2019
270,Pacific Grove,US,36.62,-121.92,60.01,58,19.46,90,Feb 26 2019
271,Naze,NG,5.43,7.07,71.28,96,2.77,80,Feb 26 2019
272,Dakar,SN,14.69,-17.45,73.4,10,14.99,8,Feb 26 2019
273,Tazovskiy,RU,67.47,78.7,-20.34,29,3.11,0,Feb 26 2019
274,Oxapampa,PE,-10.58,-75.4,53.37,100,1.77,92,Feb 26 2019
275,Belaya Gora,RU,68.54,146.19,-23.04,33,5.5,68,Feb 26 2019
276,Egvekinot,RU,66.32,-179.17,24.71,87,15.19,80,Feb 26 2019
277,Sainte-Suzanne,CH,47.51,6.77,34.0,64,4.34,0,Feb 26 2019
278,Clyde River,CA,70.47,-68.59,-27.41,74,3.36,1,Feb 26 2019
279,Poum,MK,41.28,20.71,28.08,71,4.27,36,Feb 26 2019
280,San Policarpo,PH,12.18,125.51,79.97,86,10.31,0,Feb 26 2019
281,Nhulunbuy,AU,-12.18,136.78,87.8,66,12.75,20,Feb 26 2019
282,Dwarka,IN,28.58,77.04,66.0,87,5.82,75,Feb 26 2019
283,Eatonton,US,33.33,-83.39,60.01,87,5.23,1,Feb 26 2019
284,Placido de Castro,BR,-10.34,-67.19,77.72,85,3.04,8,Feb 26 2019
285,Koumac,NC,-20.56,164.28,81.9,72,13.06,36,Feb 26 2019
286,Pitanga,BR,-24.76,-51.76,63.54,96,5.35,92,Feb 26 2019
287,Port Lincoln,AU,-34.72,135.86,78.3,76,4.27,0,Feb 26 2019
288,Nishihara,JP,35.74,139.53,53.01,36,1.12,75,Feb 26 2019
289,Plettenberg Bay,ZA,-34.05,23.37,63.09,98,17.47,80,Feb 26 2019
290,Kaeo,NZ,-35.1,173.78,73.0,58,5.99,0,Feb 26 2019
291,Koshurnikovo,RU,54.3,93.39,22.86,63,4.38,48,Feb 26 2019
292,Karratha,AU,-20.74,116.85,101.07,31,7.52,0,Feb 26 2019
293,Onalaska,US,43.88,-91.23,12.0,78,3.36,90,Feb 26 2019
294,Russell,AR,-33.01,-68.8,71.6,40,17.22,0,Feb 26 2019
295,Plavsk,RU,53.71,37.29,28.31,93,11.88,88,Feb 26 2019
296,Tomatlan,MX,19.93,-105.25,70.16,91,2.26,0,Feb 26 2019
297,Kuytun,RU,54.34,101.51,21.78,61,3.04,24,Feb 26 2019
298,Boueni,YT,-12.9,45.08,80.6,88,8.05,0,Feb 26 2019
299,Tanout,NE,14.97,8.88,67.23,30,7.63,92,Feb 26 2019
300,Kazerun,IR,29.62,51.65,45.54,63,3.04,100,Feb 26 2019
301,Lusaka,ZM,-15.42,28.28,67.14,77,8.08,0,Feb 26 2019
302,Emerald,AU,-23.53,148.16,91.0,27,10.29,75,Feb 26 2019
303,Bethel,US,60.79,-161.76,35.6,100,14.99,90,Feb 26 2019
304,Celestun,MX,20.87,-90.4,80.28,89,19.33,0,Feb 26 2019
305,Belle Fourche,US,44.67,-103.85,3.0,70,12.75,90,Feb 26 2019
306,Tiznit,MA,29.7,-9.73,51.89,72,3.49,12,Feb 26 2019
307,Roebourne,AU,-20.77,117.15,101.07,31,7.52,0,Feb 26 2019
308,Maniitsoq,GL,65.42,-52.9,13.05,63,5.23,0,Feb 26 2019
309,La Ronge,CA,55.1,-105.3,10.4,85,6.93,90,Feb 26 2019
310,Osmena,PH,12.17,124.59,80.91,84,8.75,0,Feb 26 2019
311,Axim,GH,4.87,-2.24,82.22,100,10.09,0,Feb 26 2019
312,Heihe,RU,50.24,127.51,35.6,34,4.47,0,Feb 26 2019
313,Gilgit,PK,35.92,74.31,9.18,83,1.25,36,Feb 26 2019
314,Faanui,PF,-16.48,-151.75,84.33,100,5.35,0,Feb 26 2019
315,Takoradi,GH,4.89,-1.75,79.79,100,8.37,44,Feb 26 2019
316,Saint-Pierre,FR,48.95,4.24,37.4,80,5.82,0,Feb 26 2019
317,Luderitz,NA,-26.65,15.16,64.08,76,17.69,0,Feb 26 2019
318,Ahipara,NZ,-35.17,173.16,72.18,64,12.66,0,Feb 26 2019
319,Kumanovo,MK,42.14,21.72,42.8,56,4.7,90,Feb 26 2019
320,Vila Velha,BR,-3.71,-38.6,80.6,88,5.23,20,Feb 26 2019
321,Seoul,KR,37.57,126.98,53.6,34,5.82,75,Feb 26 2019
322,Nome,US,30.04,-94.42,61.0,87,24.16,90,Feb 26 2019
323,Garhi Khairo,PK,28.06,67.98,49.23,71,2.82,0,Feb 26 2019
324,Coihaique,CL,-45.58,-72.07,50.0,76,2.24,0,Feb 26 2019
325,Norman,US,35.22,-97.44,35.6,92,6.93,90,Feb 26 2019
326,Sarkand,KZ,45.41,79.91,13.14,54,3.89,12,Feb 26 2019
327,Santa Maria,BR,-29.69,-53.81,60.8,93,6.35,0,Feb 26 2019
328,Clearlake,US,38.96,-122.63,53.01,100,18.34,90,Feb 26 2019
329,Katsuura,JP,33.93,134.5,50.0,43,6.93,75,Feb 26 2019
330,Inta,RU,66.04,60.13,-1.35,56,6.73,0,Feb 26 2019
331,Palauig,PH,15.44,119.9,82.94,65,0.36,0,Feb 26 2019
332,Dubbo,AU,-32.25,148.6,87.8,23,14.99,36,Feb 26 2019
333,Menongue,AO,-14.66,17.68,68.4,73,2.33,92,Feb 26 2019
334,Lichuan,CN,30.3,108.94,38.88,98,2.89,92,Feb 26 2019
335,Zaltan,LY,32.95,11.87,47.7,100,4.27,0,Feb 26 2019
336,Wamba,CD,2.14,27.99,68.85,79,2.82,0,Feb 26 2019
